,property_id,property_name,hotel_description,address,point_of_interest,city,state,country,latitude,longitude,property_type,hotel_star_rating,hotel_facilities,room_facilities
1684,H000801,Coorg Sun Valley,The standard check-in time is 12:00 PM and the standard check-out time is 11:00 AM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly,"Mekeri, Virajpet Road","['Madikeri', 'Omkareshwara temple', 'Madikeri Fort']",Coorg,Karnataka,India,12.4038366,75.7420233,Homestay,0,"['Front Desk', 'Local Tour / Travel Desk']","['Room Service ', 'Basic Bathroom Amenities', 'Attached Bathroom']"
1685,H000802,Dadra Adventure Resort,The standard check-in time is 12:00 PM and the standard check-out time is 10:00 AM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly,"Next to Dadra Garden, Vapi Silvassa Rd.","['Vanganga Lake Garden', 'Vapi Silvassa Road']",Silvassa,Dadra and Nagar Haveli,India,20.421865,72.8736877,Resort,2,"['Swimming Pool', 'Bar / Lounge ', 'Business Center ', 'Games Zone', 'Internet Access - Surcharge', 'Laundry Service Available', 'Lift / Elevator', 'Lobby', 'Parking Facilities Available', 'Front Desk', 'Multi Cuisine Restaurant ', 'Table Tennis', 'Power Backup', 'Gardens', 'Dance Performances (on demand)', 'Conference Facility ', 'Pool Table', 'Nature Walk', 'Badminttion Court', 'Virtual Golf', 'Internet Access Free', 'Room Service (24 Hours)', 'Parking Facility', 'Room Service', 'Speciality Restaurant ', 'Suites']","['Air Conditioning ', 'Basic Bathroom Amenities', ' Hot / Cold Running Water', 'TV']"
1687,H000803,Corbett Suman Grand,The standard check-in time is 12:00 PM and the standard check-out time is 10:00 AM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly Hotel may charge compulsory gala dinner supplement on Christmas / New Year's eve or other festive periods. Any such supplements need to be paid directly at the hotel.,"Opposite PWD Guest House, Dhikuli-garjia, Ramnagar.","['Garjiya Temple', 'Corbett Falls', 'Corbett Wildlife Museum', 'Zero Garjia, Dhikuli']",Corbett,Uttarakhand,India,29.480975,79.1466283,Resort,4,"['Swimming Pool', 'Banquet Facilities', 'Concierge', 'Doctor on Call', 'Games Zone', 'Laundry Service Available', 'Lobby', 'Parking Facilities Available', 'Front Desk', 'Multi Cuisine Restaurant ', 'Table Tennis', 'Local Tour / Travel Desk', 'Conference Facility']","['Balcony / Terrace', 'Basic Bathroom Amenities', 'Cable / Satellite / Pay TV available', 'Crockery / Cutlery', 'Heating Facility (on request) ', 'Tea Coffee Kettle / Maker', 'Telephone', 'TV']"
1693,H000804,Coorg County Resorts,"The standard check-in time is 12:00 PM and the standard check-out time is 11:00 AM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly Child below 6 year is complimentary,above  6 to 12 years will  be charged 1000/- on CPAI (Break fast/Bed Included). Hotel may charge compulsory gala dinner supplement on Christmas / New Year's eve or other festive periods. Any such supplements need to be paid directly at the hotel.","7th Hoskote, Suntikoppa, Kodagu Dist","['Namdrolling Monastery - Tibetan Golden Temple', 'Bangalore Airport', 'Tala Cauvery', 'Madikeri Fort', 'Abbey Falls', 'Raja Seat', 'Nagarhole', 'Nisargadama', 'Dubari', 'Harangidam', 'Om Kareshwara Temple', 'Suntikoppa']",Coorg,Karnataka,India,12.43842,75.8674016,Resort,3,"['Swimming Pool', 'Games Zone', 'Health Club / Gym Facility Available', 'Laundry Service Available', 'Parking Facilities Available', 'Multi Cuisine Restaurant ', 'Local Tour / Travel Desk', '24 Hour Front Desk', 'Power Backup', 'Gardens']","['Basic Bathroom Amenities', ' Hot / Cold Running Water', 'TV']"
1694,H000805,Coimbatore Serviced Apartment,The standard check-in time is 02:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly We do not allow unmarried / unrelated couples to checkin. This is at full discretion of the hotel management. No refund would be applicable in case the checkin is denied under such circumstances,Avinashi Road  Coimbatore Tamil nadu,"['Others', 'Coimbatore International Airport']",Coimbatore,Tamil Nadu,India,11.0253018,77.0117175,Service Apartment,0,"['Doctor on Call', 'Lobby', 'Front Desk']","['Room Service ', 'Air Conditioning ', 'Cable / Satellite / Pay TV available', 'Ceiling Fan', 'Mineral Water', 'Attached Bathroom']"
1702,H000806,Colonia De Braganza Resort,"The standard check-in time is 12:00 PM and the standard check-out time is 11:00 AM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly AS PER GOVERNMENT DIRECTIVES IT IS MANDATORY FOR ALL GUEST TO SHOW THEIR PHOTO ID AT CHECK IN, WHICH CAN BE IN FORM OF PASSPORT AND VISA COPY/ DRIVING LICENSE/ VOTER ID CARD FAILING WHICH THE HOTEL RESERVES THE RIGHT OF REFUSAL.","Ashley Road, Near Calangute- Baga Circle, Naika Waddo, Calangute, Bardez - Goa - 403516","['North Goa', 'Calangute Area']",Goa,Goa,India,15.2993265,74.123996,Resort,3,"['Swimming Pool', 'Airport Transfer Available / Surcharge', 'Bar / Lounge ', 'Barbecue Area', 'Doctor on Call', 'Dry Cleaning', 'Internet Access - Surcharge', 'Laundry Service Available', 'Lobby', 'Non Smoking Rooms', 'Parking Facilities Available', 'Front Desk', 'Multi Cuisine Restaurant ', 'Locker Facility', 'Local Tour / Travel Desk', 'Hookah Lounge', 'Major Credit Cards Accepted', '24 Hour Front Desk', 'Luggage Storage', 'Medical Assistance Available', 'Welcome Drinks', 'Express Check-In / Check-Out', 'Gardens', 'Dance Performances (on demand)', 'Multi Lingual Staff', 'Separate Sitting Area', 'ATM / Banking', 'Kitchen available (home cook food on request)', 'Poolside Bar', 'Pick Up and Drop (Rly Station, Bus Stand, Temple)', 'Open Air Restaurant / Dining ', 'Transfers Available', ' Bike on Rent', 'In House Events ', 'Extra Person / Child - Share the same room', 'Village Visit ( Chargeable )', 'Car Rental', 'Taxi Services', 'Pool Cafe', 'City Shuttle Service', 'Karaoke ', 'Food Facility', 'Internet Access Free', 'Newspapers In Lobby', ""Children's Park"", 'Family Room', 'Room Service (24 Hours)', 'Spa Services Nearby', 'Air / Rail Booking', 'Baggage Room', 'Guide / Sightseeing Service', 'Adjoining Rooms', 'Airport Transfer Free', 'Outdoor Parking - Secured', 'Outdoor Parking - Non Secured', 'Parking Facility', 'Internet Access', 'Restaurant', 'Room Service', 'Fire Safety', 'CCTV', 'Full Time Operation for All 7 Days', 'Paid Transfers', 'Public Restrooms', 'Security at All Hotel Entrances']","['Room Service ', 'Air Conditioning ', 'Balcony / Terrace', 'Basic Bathroom Amenities', 'Cable / Satellite / Pay TV available', 'Ceiling Fan', 'Mini bar - On Charge ', 'Refrigerator', 'Mineral Water', ' Hot / Cold Running Water', 'Housekeeping', 'Extra Bed, Towels, Linens, Bedding (on request)', 'Breakfast Available', 'Makeup / Shaving Mirror', 'TV', 'Mirror', 'Mini Refrigerator', 'Luggage Rack', 'Attached Bathroom', 'Clothes Hook in Bathroom', 'Complete Bedding', 'Curtains/Shades', 'Daily Room Cleaning', 'Dustbins', 'Room Door Fitted with Lock and Key', 'Room with Window/Ventilation', 'Rooms with Attached Bathrooms', 'Sufficient Lighting', 'Western Toilet Seat']"
1703,H000807,Colonel Beach Villa,The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly,"Marari,Thumpoly Beach Road ,Near Thumploy church",['Others'],Alleppey,Kerala,India,9.523546219,76.31167603,Homestay,0,['Doctor on Call'],"['Ceiling Fan', ' Hot / Cold Running Water', 'Toiletries', 'Mirror']"
1705,H000808,Deogarh Mahal,The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly Hotel may charge supplement charges on Christmas / New Year's eve or other festive periods. Any such supplements need to be paid directly at the hotel. There may be additional charges and taxes applicable. Pets are not allowed.,"Palace Road,Deogarh,Rajsamand dist",['Nathdwara/ Eklingji'],Udaipur,Rajasthan,India,25.5288545171,73.9080737518,Hotel,3,"['Swimming Pool', 'Bar / Lounge ', 'Business Center ', 'Health Club / Gym Facility Available', 'Lift / Elevator', 'Parking Facilities Available', 'Front Desk', 'Multi Cuisine Restaurant ', 'Locker Facility', 'Power Backup', 'Gardens', 'Internet Access Free', 'Room Service (24 Hours)', 'Parking Facility']","['Room Service ', 'Basic Bathroom Amenities', 'Attached Bathroom']"
1708,H000809,Delta Regency,The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly 24 Hour Check in and Check Out Facility,"#1, 1st main, 1st Cross, Maruthi Nagar, Madiwala","['Indian Institute of Astrophysics', 'Koramangala']",Bangalore,Karnataka,India,12.9268985933,77.6157015577,Hotel,0,"['Laundry Service Available', 'Lift / Elevator', 'Lobby', 'Parking Facilities Available', 'Front Desk', 'Local Tour / Travel Desk', 'Major Credit Cards Accepted', '24 Hour Front Desk', 'Power Backup', 'Coffee Shop / Cafe', 'Smoking Rooms', 'Fax Machine', 'Extra Person / Child - Share the same room', 'Food Facility', 'Internet Access Free', 'Newspapers In Lobby', 'Room Service (24 Hours)', 'Outdoor Parking - Secured', 'Outdoor Parking - Non Secured', 'Parking Facility', 'Restaurant', 'Room Service', 'First-Aid Kit at Front Desk']","['Room Service ', 'Cable / Satellite / Pay TV available', 'Ceiling Fan', 'Housekeeping', 'HD / LCD Satellite TV ', 'Daily Room Cleaning']"
1709,H000810,Daspalla Executive Court,The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly   Terms and Conditions: It is mandatory for guests to present valid photo identification at the time of check-in. and should carry hotel Booking Voucher at the time of check in. Unmarried Couples not allowed and pets not allowed,"Near Raghavendra Swamy Temple,Waltair Main Road, opp: Apolo hospital.","['Jagadamba Junction', 'Visakhapatnam Airport']",Visakhapatnam,Andhra Pradesh,India,17.7177816,83.3095106,Hotel,3,"['Banquet Facilities', 'Doctor on Call', 'Laundry Service Available', 'Lift / Elevator', 'Lobby', 'Parking Facilities Available', 'Front Desk', 'Multi Cuisine Restaurant ', 'Locker Facility', 'Power Backup', 'Suites']","['Room Service ', 'Air Conditioning ', 'Basic Bathroom Amenities', 'Cable / Satellite / Pay TV available', 'Ceiling Fan', 'Newspapers', 'Shower Caps Available', 'Shoe Shine', 'Housekeeping', 'Extra Bed, Towels, Linens, Bedding (on request)', 'Breakfast Available', 'Toiletries', 'Makeup / Shaving Mirror', 'Slippers', 'Shaving Kit /Dental Kit', 'Moisturiser', 'Fruit Basket', 'Mirror', 'Bedside Table', 'Daily Room Cleaning', 'Dustbins', 'Ice Bucket on Demand', 'In-Room Safe']"
1711,H000811,Cuba Baga,The standard check-in time is 01:00 PM and the standard check-out time is 10:00 AM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly,"COLONIA SANTA MARIA (CSM) ROAD, COBRAWADDO, BAGA, NORTH GOA.","['Baga Beach', 'Calangute Beach', 'North Goa', 'Baga Area', 'Calangute Bus Stand']",Goa,Goa,India,15.5568770504,73.7556864068,Hotel,2,"['Airport Transfer Available / Surcharge', 'Babysitting/ Child Care (surcharge)', 'Bar / Lounge ', 'Business Center ', 'Doctor on Call', 'Laundry Service Available', 'Multi Cuisine Restaurant ', 'Locker Facility', 'Pick Up and Drop (Rly Station, Bus Stand, Temple)', 'Taxi Services', 'Newspapers In Lobby', 'Family Room', 'Room Service (24 Hours)', 'Internet / Fax (Reception area only)', 'Parking Facility']","['Room Service ', 'Telephone', ' Hot / Cold Running Water', 'Housekeeping', 'TV', 'Attached Bathroom']"
1712,H000812,Country Inn - Sattal,"The standard check-in time is 12:00 PM and the standard check-out time is 10:00 AM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly In the unfortunate circumstance of the room not being available at your check-in time due to operational or any other reason which is beyond the control of the hotels management, our responsibility shall be to provide you a room in a similar category hotel in our vicinity. mandatory Gala Dinner charges directly payable at resort- 25th Dec 2015 :  Adult : Rs,2000/- per person plus 18% taxes  Child ( 5-12 yrs ): Rs,1200/- per child plus 18% taxes 31st Dec 2015 : Adult : Rs,2000/- per person plus 18% taxes                              Child ( 5-12 yrs ): Rs,1200/- per child plus 18% taxe","Sattal, Dist Nainital, Uttarakhand","['Nainital', 'Ranikhet', 'Mukteshwar', 'Ghorakhal Temple', 'Corbett', 'Binsar', 'Naukuchiatal', 'Kainchi Temple', 'Bhimtal', 'Sattal Lake', 'Butterfly Museum', 'Ropeway Lower Station', 'Sattal Lake Area']",Sattal,Uttarakhand,India,29.3803039,79.4635658,Resort,3,"['Banquet Facilities', 'Laundry Service Available', 'Parking Facilities Available', 'Multi Cuisine Restaurant ', 'Power Backup', 'Gardens', 'Conference Facility']","['Air Conditioning ', 'Ensuite / Private Bathroom', 'Tea Coffee Kettle / Maker', 'Telephone', 'Safe - In - Room ', 'TV']"
1714,H000813,Delite Grand,"The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly Unmarried couples not allowed, 24 hours check in","A-5B, NEELAM BATA ROAD, NIT,",['Ajronda Chowk'],Faridabad,Haryana,India,28.3882301,77.3069287,Hotel,4,"['Airport Transfer Available / Surcharge', 'Banquet Facilities', 'Bar / Lounge ', 'Business Center ', 'Doctor on Call', 'Dry Cleaning', 'Lift / Elevator', 'Lobby', 'Parking Facilities Available', 'Front Desk', 'Locker Facility', '24 Hour Front Desk', 'Air-Conditioning - Central', 'Power Backup', 'Wake-up Call / Service', 'Pick Up and Drop (Rly Station, Bus Stand, Temple)', 'Veg / Non Veg Kitchens Separate ', 'Parking Facility']","['Room Service ', 'Air Conditioning ', 'Basic Bathroom Amenities', 'Cable / Satellite / Pay TV available', 'Ceiling Fan', 'Tea Coffee Kettle / Maker', 'Internet Connection In Room', 'Telephone', 'Mirror', 'Attached Bathroom']"
